"id","priority","description","source","status","implementation","tests","evidence","release_gate"
"CAT-002","MUST","document IDs and schema versions are stable.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:483","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
"CAT-003","MUST","WooCommerce CRUD is the primary product source API.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:484","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
"CAT-004","MUST","price uses integer minor units and explicit scope.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:485","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
"CAT-005","MUST","language documents are distinct.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:486","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
"CAT-006","MUST","custom fields are allow-listed and typed.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:487","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
"CAT-007","MUST","restricted catalog data cannot leak through hits or facets.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:488","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
"CAT-008","MUST","variation strategies are explicit and tested.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:489","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
"SYN-001","MUST","lifecycle hooks enqueue bounded durable events.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:490","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"SYN-002","MUST","events are idempotent, leased, retried, and dead-lettered.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:491","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"SYN-003","MUST","full builds are resumable and do not interrupt active search.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:492","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"SYN-004","MUST","writes during a full build are merged before activation.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:493","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"SYN-005","MUST","dual-write has per-target checkpoints.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:494","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"SYN-006","MUST","periodic reconciliation detects missed direct writes and drift.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:495","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"SYN-007","MUST","batch resource use is bounded and adaptive.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:496","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"SYN-008","MUST","operator and CLI controls expose progress, failure, retry, verification, activation, and rollback.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:497","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Outbox;plugin/starfiniti-search/src/Infrastructure/WordPress/Reconciliation","tests/php/integration;tests/php/unit/AdaptiveBatchSizerTest.php;tools/test-process-kill.ps1;tools/test-builder-kill.ps1","docs/QUALIFICATION_EVIDENCE.md","Gate 3"
"LOC-001","MUST","dedicated inverted index, no linear catalog scan.","docs/04_LOCAL_SEARCH_ENGINE.md:485","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-002","MUST","shadow generations and atomic activation.","docs/04_LOCAL_SEARCH_ENGINE.md:486","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-003","MUST","bounded exact, prefix, phrase, and fuzzy matching.","docs/04_LOCAL_SEARCH_ENGINE.md:487","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-004","MUST","exact SKU and configured identifier correctness.","docs/04_LOCAL_SEARCH_ENGINE.md:488","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-005","MUST","locale-aware analyzers are versioned.","docs/04_LOCAL_SEARCH_ENGINE.md:489","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-006","MUST","ranking is documented, configurable, deterministic, and explainable.","docs/04_LOCAL_SEARCH_ENGINE.md:490","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-007","MUST","facets are correct for the filtered result set.","docs/04_LOCAL_SEARCH_ENGINE.md:491","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-008","MUST","all SQL is prepared and critical plans are benchmarked.","docs/04_LOCAL_SEARCH_ENGINE.md:492","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-009","MUST","index corruption or worker termination cannot corrupt the active generation.","docs/04_LOCAL_SEARCH_ENGINE.md:493","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-010","MUST","query and resource budgets prevent unbounded work.","docs/04_LOCAL_SEARCH_ENGINE.md:494","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-011","MUST","cache keys include all visibility and pricing dimensions.","docs/04_LOCAL_SEARCH_ENGINE.md:495","not_applicable_disabled","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-012","MUST","fast endpoint, if enabled, passes its security and parity gates.","docs/04_LOCAL_SEARCH_ENGINE.md:496","not_applicable_disabled","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"LOC-013","MUST","tested catalog limits are documented and enforced with warnings, not marketing guesses.","docs/04_LOCAL_SEARCH_ENGINE.md:497","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/LocalIndex","tests/php/unit;tests/php/integration;tools/benchmark-local.ps1","docs/QUALIFICATION_EVIDENCE.md;docs/LOCAL_RELEVANCE.md","Gate 4"
"TYP-001","MUST","supported server versions are detected and certified.","docs/05_TYPESENSE_PROVIDER.md:407","blocked_external","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-002","MUST","credentials are separated by privilege and never leaked.","docs/05_TYPESENSE_PROVIDER.md:408","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-003","MUST","collection names isolate installation, environment, locale, and version.","docs/05_TYPESENSE_PROVIDER.md:409","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-004","MUST","schema changes use versioned collections and aliases when required.","docs/05_TYPESENSE_PROVIDER.md:410","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-005","MUST","bulk import parses and records every document result.","docs/05_TYPESENSE_PROVIDER.md:411","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-006","MUST","activation and rollback are idempotent and verified.","docs/05_TYPESENSE_PROVIDER.md:412","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-007","MUST","direct browser transport is permitted only for public-safe scoped data.","docs/05_TYPESENSE_PROVIDER.md:413","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-008","MUST","restricted catalogs use non-removable authorization policy.","docs/05_TYPESENSE_PROVIDER.md:414","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-009","MUST","query compilation is bounded, version-aware, and not raw pass-through.","docs/05_TYPESENSE_PROVIDER.md:415","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-010","MUST","canonical synonyms and curations reconcile to provider resources.","docs/05_TYPESENSE_PROVIDER.md:416","complete","plugin/starfiniti-search/src/Infrastructure/Typesense/TypesenseRelevanceReconciler.php;plugin/starfiniti-search/src/Infrastructure/Typesense/TypesenseSearchProvider.php","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-011","MUST","resilience includes deadlines, retry policy, circuit breaking, and safe degradation.","docs/05_TYPESENSE_PROVIDER.md:417","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-012","MUST","diagnostics contain operational evidence and no secrets.","docs/05_TYPESENSE_PROVIDER.md:418","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-013","MUST","local fallback is unavailable unless freshness and consistency policy passes.","docs/05_TYPESENSE_PROVIDER.md:419","complete","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"TYP-014","MUST","integration tests run against real supported Typesense containers, not only mocks.","docs/05_TYPESENSE_PROVIDER.md:420","blocked_external","plugin/starfiniti-search/src/Infrastructure/Typesense","tests/php/unit/TypesenseProviderTest.php","docs/QUALIFICATION_EVIDENCE.md;docs/TYPESENSE_ADAPTER.md","Gate 5"
"ADM-001","MUST","setup validates actual readiness, not only connectivity.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:517","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Admin","tests/php/integration/admin-relevance.php;tests/php/integration/setup-readiness.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"ADM-002","MUST","health, indexing, drift, errors, and rollback are visible.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:518","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Admin","tests/php/integration/admin-relevance.php;tests/php/integration/setup-readiness.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"ADM-003","MUST","relevance changes are previewable and versioned.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:519","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Admin","tests/php/integration/admin-relevance.php;tests/php/integration/setup-readiness.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"ADM-004","MUST","capability differences are explicit.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:520","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Admin","tests/php/integration/admin-relevance.php;tests/php/integration/setup-readiness.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"ADM-005","MUST","diagnostics are actionable and secret-safe.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:521","complete","plugin/starfiniti-search/src/Infrastructure/WordPress/Admin","tests/php/integration/admin-relevance.php;tests/php/integration/setup-readiness.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"ANA-001","MUST","analytics are provider-neutral and cannot break search.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:522","complete","plugin/starfiniti-search/src/Domain/Analytics;plugin/starfiniti-search/src/Infrastructure/WordPress/Analytics","tests/php/unit;tests/php/integration/analytics-failure-isolation.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"ANA-002","MUST","query and identity data are minimized and retention-controlled.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:523","complete","plugin/starfiniti-search/src/Domain/Analytics;plugin/starfiniti-search/src/Infrastructure/WordPress/Analytics","tests/php/unit;tests/php/integration/analytics-failure-isolation.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"ANA-003","MUST","reports have documented definitions and provider/version context.","docs/06_STOREFRONT_ADMIN_ANALYTICS.md:524","complete","plugin/starfiniti-search/src/Domain/Analytics;plugin/starfiniti-search/src/Infrastructure/WordPress/Analytics","tests/php/unit;tests/php/integration/analytics-failure-isolation.php","docs/QUALIFICATION_EVIDENCE.md","Gate 6"
"SEC-001","MUST","threat model covers all documented trust boundaries.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:441","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-002","MUST","administrative actions use least-privilege capabilities.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:442","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-003","MUST","public input is schema-validated and cost-bounded.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:443","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-004","MUST","Typesense endpoint validation mitigates SSRF and unsafe redirects.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:444","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-005","MUST","secrets are encrypted or externally referenced and always redacted.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:445","complete","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
"SEC-006","MUST","direct browser keys cannot perform write or administration actions.","docs/07_SECURITY_PRIVACY_OPERATIONS.md:446","not_applicable_disabled","plugin/starfiniti-search/src;SECURITY.md","tests/php/unit;tests/php/integration;tools/verify-release.mjs","docs/THREAT_MODEL.md;docs/QUALIFICATION_EVIDENCE.md","Gate 7"
